id,host_id,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1503670,2024924,158.0,58.0,2019-02-01,0.83,2,65
1614869,1254489,158.0,41.0,2019-02-01,0.58,1,142
1645196,4623045,158.0,45.0,2019-02-01,1.64,1,140
1702533,8335875,158.0,59.0,2019-02-01,0.84,1,215
1728938,478717,158.0,200.0,2019-02-01,3.16,1,115
1931609,9442045,158.0,166.0,2019-02-01,2.87,1,650
2908211,14019963,158.0,88.0,2019-05-07,1.4,1,105
6375124,738918,158.0,19.0,2019-02-07,0.38,2,276
3198018,738918,158.0,85.0,2019-02-01,1.81,2,300
3216335,16288928,158.0,122.0,2019-12-06,1.98,2,330
13496318,16288928,158.0,14.0,2019-08-06,0.64,2,450
3248010,1588656,158.0,154.0,2019-02-01,3.05,2,125
16732266,1588656,158.0,108.0,2019-01-07,3.62,2,165
23608085,1746811,158.0,8.0,2019-02-01,0.52,2,95
3269281,1746811,158.0,52.0,2019-02-01,1.08,2,100
3474320,12949460,158.0,488.0,2019-01-07,8.14,1,160
3601743,18146661,158.0,192.0,2019-02-01,3.2,1,180
3897387,20177472,158.0,117.0,2019-02-01,1.99,1,125
4050254,9492212,158.0,151.0,2019-02-01,2.58,4,169
7034953,9492212,158.0,184.0,2019-10-02,3.86,4,139
4649627,9492212,158.0,88.0,2019-02-01,1.6,4,135
18906081,9492212,158.0,0.0,2019-02-01,0.72,4,149
4054332,21026294,158.0,45.0,2016-05-10,0.82,1,103
4362570,19735589,158.0,83.0,2019-02-01,1.48,1,220
4424511,3641595,158.0,323.0,2019-02-01,5.81,1,160
4503472,23353897,158.0,58.0,2019-02-01,1.38,1,163
4691130,24253453,158.0,120.0,2018-04-01,2.47,2,70
11935301,24253453,158.0,1.0,2019-02-01,0.03,2,85
4760085,24561040,158.0,132.0,2019-02-01,2.7,3,95
5846745,24561040,158.0,153.0,2019-05-07,3.0,3,115
6062060,24561040,158.0,9.0,2019-02-01,0.2,3,220
5116726,7203997,158.0,43.0,2019-02-01,0.82,2,995
10538353,7203997,158.0,123.0,2019-02-01,3.01,2,154
5509771,1098902,158.0,123.0,2019-07-07,2.35,2,184
6059556,1098902,158.0,0.0,2019-02-01,0.72,2,480
5715049,29628369,158.0,238.0,2019-02-01,4.57,1,181
5736925,16621177,158.0,232.0,2019-04-07,4.46,1,140
6613106,10014644,158.0,18.0,2019-02-01,0.36,2,60
6197134,10014644,158.0,97.0,2019-02-01,1.91,2,100
6252815,32479008,158.0,47.0,2019-02-01,0.96,1,150
6523409,2124716,158.0,100.0,2019-02-01,2.11,1,99
7265079,912400,158.0,102.0,2019-02-01,2.17,1,89
7348959,4579626,158.0,211.0,2019-07-07,5.13,2,58
